pp,AI_literacy,AI_literacy_z,DoC,DoC_z
P01,6.352941176470588,1.3707311240445712,4.5,-0.06454750891133812
P02,4.4411764705882355,-0.533643414704375,4.8,0.45183256237937136
P03,5.117647058823529,0.1402121913144824,4.5,-0.06454750891133812
P04,4.764705882352941,-0.21136464660839974,4.15,-0.6669909254171656
P05,6.352941176470588,1.3707311240445712,4.55,0.02151583630377988
P06,4.176470588235294,-0.7973260431465369,3.7,-1.4415610323532306
P07,5.470588235294118,0.4917890292373654,4.25,-0.4948642349869296
P09,6.705882352941177,1.7223079619674542,5.85,2.2591628118968554
P10,4.147058823529412,-0.8266241129734437,4.75,0.36576921716425337
P11,2.4411764705882355,-2.5259121629340426,4.15,-0.6669909254171656
P12,4.852941176470588,-0.12347043712767942,4.6,0.10757918151889788
P13,5.5,0.5210870990642722,4.65,0.1936425267340174
P14,6.323529411764706,1.3414330542176645,4.4,-0.2366741993415741
P15,3.2058823529411766,-1.7641623474344639,5.05,0.8821492884549629
P16,5.911764705882353,0.9312600766409688,5.45,1.57065605017591
P17,5.617647058823529,0.6382793783718993,4.7,0.2797058719491354
P18,4.323529411764706,-0.650835694012003,4.15,-0.6669909254171656
P19,4.764705882352941,-0.21136464660839974,4.55,0.02151583630377988
P21,6.0588235294117645,1.0777504257755026,4.85,0.5378959075944894
P22,4.264705882352941,-0.7094318336658166,5.0,0.7960859432398449
P23,4.0588235294117645,-0.9145183224541649,4.65,0.1936425267340174
P24,4.205882352941177,-0.7680279733196301,5.85,2.2591628118968554
P25,5.705882352941177,0.7261735878526204,4.15,-0.6669909254171656
P26,4.5,-0.47504727505056155,3.95,-1.011244306277639
P27,4.5,-0.47504727505056155,3.3,-2.1300677940741775
P28,5.852941176470588,0.8726639369871543,4.7,0.2797058719491354
P29,5.176470588235294,0.19880833096829684,3.8,-1.2694343419229945
P30,4.5588235294117645,-0.416451135396748,4.05,-0.8391176158474031
