participant_id,section,index,question,answer,pp,demo
P19,0-1,1,What is your age? (in years),28,P19,28.0
P19,0-1,2,What is your gender?,Non-binary,P19,
P19,0-1,3,What is your highest level of education completed?,Master's degree,P19,
P19,0-1,4,How much experience do you have using VR?,6-20 times,P19,6.0
P19,0-1,5,How often have you used VR in the past 6 months?,Less than once a month,P19,
P26,0-1,1,What is your age? (in years),26,P26,26.0
P26,0-1,2,What is your gender?,Male,P26,
P26,0-1,3,What is your highest level of education completed?,Master's degree,P26,
P26,0-1,4,How much experience do you have using VR?,1-5 times,P26,1.0
P26,0-1,5,How often have you used VR in the past 6 months?,Never,P26,
P21,0-1,1,What is your age? (in years),25,P21,25.0
P21,0-1,2,What is your gender?,Male,P21,
P21,0-1,3,What is your highest level of education completed?,Master's degree,P21,
P21,0-1,4,How much experience do you have using VR?,1-5 times,P21,1.0
P21,0-1,5,How often have you used VR in the past 6 months?,Never,P21,
P28,0-1,1,What is your age? (in years),29,P28,29.0
P28,0-1,2,What is your gender?,Male,P28,
P28,0-1,3,What is your highest level of education completed?,Master's degree,P28,
P28,0-1,4,How much experience do you have using VR?,1-5 times,P28,1.0
P28,0-1,5,How often have you used VR in the past 6 months?,Less than once a month,P28,
P17,0-1,1,What is your age? (in years),25,P17,25.0
P17,0-1,2,What is your gender?,Male,P17,
P17,0-1,3,What is your highest level of education completed?,Bachelor's degree,P17,
P17,0-1,4,How much experience do you have using VR?,21+ times,P17,21.0
P17,0-1,5,How often have you used VR in the past 6 months?,1-2 times a week,P17,1.0
P10,0-1,1,What is your age? (in years),34,P10,34.0
P10,0-1,2,What is your gender?,Male,P10,
P10,0-1,3,What is your highest level of education completed?,Doctoral degree,P10,
P10,0-1,4,How much experience do you have using VR?,1-5 times,P10,1.0
P10,0-1,5,How often have you used VR in the past 6 months?,Never,P10,
P08,0-1,1,What is your age? (in years),40,P11,40.0
P08,0-1,2,What is your gender?,Female,P11,
P08,0-1,3,What is your highest level of education completed?,Bachelor's degree,P11,
P08,0-1,4,How much experience do you have using VR?,1-5 times,P11,1.0
P08,0-1,5,How often have you used VR in the past 6 months?,Less than once a month,P11,
P29,0-1,1,What is your age? (in years),31,P29,31.0
P29,0-1,2,What is your gender?,Female,P29,
P29,0-1,3,What is your highest level of education completed?,Doctoral degree,P29,
P29,0-1,4,How much experience do you have using VR?,1-5 times,P29,1.0
P29,0-1,5,How often have you used VR in the past 6 months?,Never,P29,
P16,0-1,1,What is your age? (in years),30,P16,30.0
P16,0-1,2,What is your gender?,Female,P16,
P16,0-1,3,What is your highest level of education completed?,Doctoral degree,P16,
P16,0-1,4,How much experience do you have using VR?,1-5 times,P16,1.0
P16,0-1,5,How often have you used VR in the past 6 months?,Never,P16,
P18,0-1,1,What is your age? (in years),24,P18,24.0
P18,0-1,2,What is your gender?,Male,P18,
P18,0-1,3,What is your highest level of education completed?,Master's degree,P18,
P18,0-1,4,How much experience do you have using VR?,1-5 times,P18,1.0
P18,0-1,5,How often have you used VR in the past 6 months?,1-3 times a month,P18,1.0
P11,0-1,1,What is your age? (in years),32,P27,32.0
P11,0-1,2,What is your gender?,Female,P27,
P11,0-1,3,What is your highest level of education completed?,Doctoral degree,P27,
P11,0-1,4,How much experience do you have using VR?,21+ times,P27,21.0
P11,0-1,5,How often have you used VR in the past 6 months?,1-2 times a week,P27,1.0
P05,0-1,1,What is your age? (in years),29,P05,29.0
P05,0-1,2,What is your gender?,Male,P05,
P05,0-1,3,What is your highest level of education completed?,Master's degree,P05,
P05,0-1,4,How much experience do you have using VR?,21+ times,P05,21.0
P05,0-1,5,How often have you used VR in the past 6 months?,1-3 times a month,P05,1.0
P02,0-1,1,What is your age? (in years),41,P02,41.0
P02,0-1,2,What is your gender?,Male,P02,
P02,0-1,3,What is your highest level of education completed?,Bachelor's degree,P02,
P02,0-1,4,How much experience do you have using VR?,1-5 times,P02,1.0
P02,0-1,5,How often have you used VR in the past 6 months?,Never,P02,
P03,0-1,1,What is your age? (in years),28,P03,28.0
P03,0-1,2,What is your gender?,Female,P03,
P03,0-1,3,What is your highest level of education completed?,Master's degree,P03,
P03,0-1,4,How much experience do you have using VR?,1-5 times,P03,1.0
P03,0-1,5,How often have you used VR in the past 6 months?,Never,P03,
P03,0-1,1,What is your age? (in years),28,P04,28.0
P03,0-1,2,What is your gender?,Female,P04,
P03,0-1,3,What is your highest level of education completed?,Bachelor's degree,P04,
P03,0-1,4,How much experience do you have using VR?,6-20 times,P04,6.0
P03,0-1,5,How often have you used VR in the past 6 months?,Less than once a month,P04,
P22,0-1,1,What is your age? (in years),36,P22,36.0
P22,0-1,2,What is your gender?,Male,P22,
P22,0-1,3,What is your highest level of education completed?,Master's degree,P22,
P22,0-1,4,How much experience do you have using VR?,21+ times,P22,21.0
P22,0-1,5,How often have you used VR in the past 6 months?,1-3 times a month,P22,1.0
P25,0-1,1,What is your age? (in years),25,P25,25.0
P25,0-1,2,What is your gender?,Female,P25,
P25,0-1,3,What is your highest level of education completed?,Master's degree,P25,
P25,0-1,4,How much experience do you have using VR?,1-5 times,P25,1.0
P25,0-1,5,How often have you used VR in the past 6 months?,Never,P25,
P13,0-1,1,What is your age? (in years),43,P13,43.0
P13,0-1,2,What is your gender?,Male,P13,
P13,0-1,3,What is your highest level of education completed?,Doctoral degree,P13,
P13,0-1,4,How much experience do you have using VR?,21+ times,P13,21.0
P13,0-1,5,How often have you used VR in the past 6 months?,Less than once a month,P13,
P14,0-1,1,What is your age? (in years),25,P14,25.0
P14,0-1,2,What is your gender?,Male,P14,
P14,0-1,3,What is your highest level of education completed?,Master's degree,P14,
P14,0-1,4,How much experience do you have using VR?,1-5 times,P14,1.0
P14,0-1,5,How often have you used VR in the past 6 months?,Never,P14,
P15,0-1,1,What is your age? (in years),29,P15,29.0
P15,0-1,2,What is your gender?,Female,P15,
P15,0-1,3,What is your highest level of education completed?,Other: MBO,P15,
P15,0-1,4,How much experience do you have using VR?,1-5 times,P15,1.0
P15,0-1,5,How often have you used VR in the past 6 months?,Never,P15,
P12,0-1,1,What is your age? (in years),25,P12,25.0
P12,0-1,2,What is your gender?,Female,P12,
P12,0-1,3,What is your highest level of education completed?,Master's degree,P12,
P12,0-1,4,How much experience do you have using VR?,1-5 times,P12,1.0
P12,0-1,5,How often have you used VR in the past 6 months?,Less than once a month,P12,
P24,0-1,1,What is your age? (in years),60,P24,60.0
P24,0-1,2,What is your gender?,Female,P24,
P24,0-1,3,What is your highest level of education completed?,Master's degree,P24,
P24,0-1,4,How much experience do you have using VR?,1-5 times,P24,1.0
P24,0-1,5,How often have you used VR in the past 6 months?,Less than once a month,P24,
P08,0-1,1,What is your age? (in years),28,P23,28.0
P08,0-1,2,What is your gender?,Female,P23,
P08,0-1,3,What is your highest level of education completed?,Master's degree,P23,
P08,0-1,4,How much experience do you have using VR?,1-5 times,P23,1.0
P08,0-1,5,How often have you used VR in the past 6 months?,Never,P23,
P01,0-1,1,What is your age? (in years),29,P01,29.0
P01,0-1,2,What is your gender?,Male,P01,
