participant_id,section,index,question,answer,pp,DoC
P19,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,5,P19,5.0
P19,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,7-always applies,P19,7.0
P19,2-3,3,I try to avoid situations where someone else tells me what to do.,2,P19,2.0
P19,2-3,4,I would prefer to be a leader than a follower.,5,P19,5.0
P19,2-3,5,I enjoy being able to influence the actions of others.,5,P19,5.0
P19,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,6,P19,6.0
P19,2-3,7,Others usually know what is best for me.,2,P19,2.0
P19,2-3,8,I enjoy making my own decisions.,7-always applies,P19,7.0
P19,2-3,9,I enjoy having control over my own destiny.,7-always applies,P19,7.0
P19,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,2,P19,2.0
P19,2-3,11,I consider myself to be generally more capable of handling situations than others are.,5,P19,5.0
P19,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,2,P19,2.0
P19,2-3,13,I like to get a good idea of what a job is all about before I begin.,4,P19,4.0
P19,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,6,P19,6.0
P19,2-3,15,When it comes to orders I would rather give them than receive them.,6,P19,6.0
P19,2-3,16,I wish I could push many of life's daily decisions off on someone else.,3,P19,3.0
P19,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,6,P19,6.0
P19,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,6,P19,6.0
P19,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,3,P19,3.0
P19,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,2,P19,2.0
P26,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,5,P26,5.0
P26,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,2,P26,2.0
P26,2-3,3,I try to avoid situations where someone else tells me what to do.,3,P26,3.0
P26,2-3,4,I would prefer to be a leader than a follower.,2,P26,2.0
P26,2-3,5,I enjoy being able to influence the actions of others.,2,P26,2.0
P26,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,6,P26,6.0
P26,2-3,7,Others usually know what is best for me.,3,P26,3.0
P26,2-3,8,I enjoy making my own decisions.,6,P26,6.0
P26,2-3,9,I enjoy having control over my own destiny.,6,P26,6.0
P26,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,5,P26,5.0
P26,2-3,11,I consider myself to be generally more capable of handling situations than others are.,2,P26,2.0
