participant_id,section,index,question,answer,pp,IPQ
P19,pre,1,What is your age? (in years),28,P19,28.0
P19,pre,2,What is your gender?,Non-binary,P19,
P19,pre,3,What is your highest level of education completed?,Master's degree,P19,
P19,pre,4,How much experience do you have using VR?,6-20 times,P19,6.0
P19,pre,5,How often have you used VR in the past 6 months?,Less than once a month,P19,
P19,post,1,General discomfort,1-None,P19,1.0
P19,post,2,Fatigue,1-None,P19,1.0
P19,post,3,Headache,1-None,P19,1.0
P19,post,4,Eye strain,1-None,P19,1.0
P19,post,5,Difficulty focusing,1-None,P19,1.0
P19,post,6,Salivation increasing,1-None,P19,1.0
P19,post,7,Sweating,1-None,P19,1.0
P19,post,8,Nausea,1-None,P19,1.0
P19,post,9,Difficulty concentrating,1-None,P19,1.0
P19,post,10,Fullness of the Head,1-None,P19,1.0
P19,post,11,Blurred vision,1-None,P19,1.0
P19,post,12,Dizziness with eyes open,1-None,P19,1.0
P19,post,13,Dizziness with eyes closed,1-None,P19,1.0
P19,post,14,Vertigo (experienced as loss of orientation with respect to vertical upright),1-None,P19,1.0
P19,post,15,Stomach awareness (feeling of discomfort which is just short of nausea),1-None,P19,1.0
P19,post,16,Burping,1-None,P19,1.0
P26,pre,1,What is your age? (in years),26,P26,26.0
P26,pre,2,What is your gender?,Male,P26,
P26,pre,3,What is your highest level of education completed?,Master's degree,P26,
P26,pre,4,How much experience do you have using VR?,1-5 times,P26,1.0
P26,pre,5,How often have you used VR in the past 6 months?,Never,P26,
P26,post,1,General discomfort,2-Slight,P26,2.0
P26,post,2,Fatigue,3-Moderate,P26,3.0
P26,post,3,Headache,2-Slight,P26,2.0
P26,post,4,Eye strain,3-Moderate,P26,3.0
P26,post,5,Difficulty focusing,2-Slight,P26,2.0
P26,post,6,Salivation increasing,1-None,P26,1.0
P26,post,7,Sweating,1-None,P26,1.0
P26,post,8,Nausea,2-Slight,P26,2.0
P26,post,9,Difficulty concentrating,2-Slight,P26,2.0
P26,post,10,Fullness of the Head,3-Moderate,P26,3.0
P26,post,11,Blurred vision,1-None,P26,1.0
P26,post,12,Dizziness with eyes open,2-Slight,P26,2.0
P26,post,13,Dizziness with eyes closed,3-Moderate,P26,3.0
P26,post,14,Vertigo (experienced as loss of orientation with respect to vertical upright),2-Slight,P26,2.0
P26,post,15,Stomach awareness (feeling of discomfort which is just short of nausea),1-None,P26,1.0
P26,post,16,Burping,1-None,P26,1.0
P21,pre,1,What is your age? (in years),25,P21,25.0
P21,pre,2,What is your gender?,Male,P21,
P21,pre,3,What is your highest level of education completed?,Master's degree,P21,
P21,pre,4,How much experience do you have using VR?,1-5 times,P21,1.0
P21,pre,5,How often have you used VR in the past 6 months?,Never,P21,
P21,post,1,General discomfort,1-None,P21,1.0
P21,post,2,Fatigue,2-Slight,P21,2.0
P21,post,3,Headache,1-None,P21,1.0
P21,post,4,Eye strain,1-None,P21,1.0
P21,post,5,Difficulty focusing,2-Slight,P21,2.0
P21,post,6,Salivation increasing,1-None,P21,1.0
P21,post,7,Sweating,2-Slight,P21,2.0
P21,post,8,Nausea,1-None,P21,1.0
P21,post,9,Difficulty concentrating,2-Slight,P21,2.0
P21,post,10,Fullness of the Head,1-None,P21,1.0
P21,post,11,Blurred vision,1-None,P21,1.0
P21,post,12,Dizziness with eyes open,2-Slight,P21,2.0
P21,post,13,Dizziness with eyes closed,1-None,P21,1.0
P21,post,14,Vertigo (experienced as loss of orientation with respect to vertical upright),1-None,P21,1.0
P21,post,15,Stomach awareness (feeling of discomfort which is just short of nausea),1-None,P21,1.0
P21,post,16,Burping,1-None,P21,1.0
P28,pre,1,What is your age? (in years),29,P28,29.0
P28,pre,2,What is your gender?,Male,P28,
P28,pre,3,What is your highest level of education completed?,Master's degree,P28,
P28,pre,4,How much experience do you have using VR?,1-5 times,P28,1.0
P28,pre,5,How often have you used VR in the past 6 months?,Less than once a month,P28,
P28,post,1,General discomfort,1-None,P28,1.0
P28,post,2,Fatigue,1-None,P28,1.0
P28,post,3,Headache,1-None,P28,1.0
P28,post,4,Eye strain,1-None,P28,1.0
P28,post,5,Difficulty focusing,1-None,P28,1.0
P28,post,6,Salivation increasing,1-None,P28,1.0
P28,post,7,Sweating,1-None,P28,1.0
P28,post,8,Nausea,1-None,P28,1.0
P28,post,9,Difficulty concentrating,1-None,P28,1.0
P28,post,10,Fullness of the Head,1-None,P28,1.0
P28,post,11,Blurred vision,1-None,P28,1.0
P28,post,12,Dizziness with eyes open,1-None,P28,1.0
P28,post,13,Dizziness with eyes closed,1-None,P28,1.0
P28,post,14,Vertigo (experienced as loss of orientation with respect to vertical upright),1-None,P28,1.0
P28,post,15,Stomach awareness (feeling of discomfort which is just short of nausea),1-None,P28,1.0
P28,post,16,Burping,1-None,P28,1.0
P17,pre,1,What is your age? (in years),25,P17,25.0
P17,pre,2,What is your gender?,Male,P17,
P17,pre,3,What is your highest level of education completed?,Bachelor's degree,P17,
