pp,AI_literacy,AI_literacy_z,DoC,DoC_z
P01,6.352941176470588,1.3707311240445703,4.5,-0.06454750891133812
P02,4.4411764705882355,-0.5336434147043759,4.8,0.45183256237937136
P03,5.117647058823529,0.1402121913144815,4.5,-0.06454750891133812
P04,4.764705882352941,-0.21136464660840062,4.15,-0.6669909254171656
P05,6.352941176470588,1.3707311240445703,4.55,0.02151583630377988
P06,4.176470588235294,-0.7973260431465378,3.7,-1.4415610323532306
P07,5.470588235294118,0.49178902923736456,4.25,-0.4948642349869296
P09,6.705882352941177,1.7223079619674533,5.85,2.2591628118968554
P10,4.147058823529412,-0.8266241129734446,4.75,0.36576921716425337
P11,2.4411764705882355,-2.5259121629340435,4.15,-0.6669909254171656
P12,4.852941176470588,-0.1234704371276803,4.6,0.10757918151889788
P13,5.5,0.5210870990642713,4.65,0.1936425267340174
P14,6.323529411764706,1.3414330542176636,4.4,-0.2366741993415741
P15,3.2058823529411766,-1.7641623474344648,5.05,0.8821492884549629
P16,5.911764705882353,0.9312600766409679,5.45,1.57065605017591
P17,5.617647058823529,0.6382793783718984,4.7,0.2797058719491354
P18,4.323529411764706,-0.6508356940120039,4.15,-0.6669909254171656
P19,4.764705882352941,-0.21136464660840062,4.55,0.02151583630377988
P21,6.0588235294117645,1.0777504257755017,4.85,0.5378959075944894
P22,4.264705882352941,-0.7094318336658175,5.0,0.7960859432398449
P23,4.0588235294117645,-0.9145183224541658,4.65,0.1936425267340174
P24,4.205882352941177,-0.768027973319631,5.85,2.2591628118968554
P25,5.705882352941177,0.7261735878526195,4.15,-0.6669909254171656
P26,4.5,-0.47504727505056243,3.95,-1.011244306277639
P27,4.5,-0.47504727505056243,3.3,-2.1300677940741775
P28,5.852941176470588,0.8726639369871534,4.7,0.2797058719491354
P29,5.176470588235294,0.19880833096829595,3.8,-1.2694343419229945
P30,4.5588235294117645,-0.4164511353967489,4.05,-0.8391176158474031
