trial,index,question_text,answer_index,answer_text,pp,SUS
12,1,1. In the computer generated world I had a sense of being there,2,,P19,2.0
12,2,2. Somehow I felt that the virtual world surrounded me,1,,P19,1.0
12,3,3. I felt like I was just perceiving pictures,2,,P19,2.0
12,4,4. I did not feel present in the virtual space,5,,P19,5.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,2,,P19,2.0
12,6,6. I felt present in the virtual space,2,,P19,2.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),6,,P19,6.0
12,8,8. I was not aware of my real environment,2,,P19,2.0
12,9,9. I still paid attention to the real environment,6,,P19,6.0
12,10,10. I was completely captivated by the virtual world,2,,P19,2.0
12,11,11. How real did the virtual world seem to you?,2,,P19,2.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,2,,P19,2.0
12,13,13. How real did the virtual world seem to you?,2,,P19,2.0
12,14,14. The virtual world seemed more realistic than the real world,1,,P19,1.0
12,15,15. The movements of the virtual body felt like they were my movements.,1,,P19,1.0
12,16,16. I felt like I was controlling the movements of the virtual body.,3,,P19,3.0
12,1,1. In the computer generated world I had a sense of being there,2,,P26,2.0
12,2,2. Somehow I felt that the virtual world surrounded me,5,,P26,5.0
12,3,3. I felt like I was just perceiving pictures,4,,P26,4.0
12,4,4. I did not feel present in the virtual space,6,,P26,6.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,3,,P26,3.0
12,6,6. I felt present in the virtual space,2,,P26,2.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),6,,P26,6.0
12,8,8. I was not aware of my real environment,5,,P26,5.0
12,9,9. I still paid attention to the real environment,2,,P26,2.0
12,10,10. I was completely captivated by the virtual world,3,,P26,3.0
12,11,11. How real did the virtual world seem to you?,6,,P26,6.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,2,,P26,2.0
12,13,13. How real did the virtual world seem to you?,2,,P26,2.0
12,14,14. The virtual world seemed more realistic than the real world,1,,P26,1.0
12,15,15. The movements of the virtual body felt like they were my movements.,4,,P26,4.0
12,16,16. I felt like I was controlling the movements of the virtual body.,5,,P26,5.0
12,1,1. In the computer generated world I had a sense of being there,5,,P21,5.0
12,2,2. Somehow I felt that the virtual world surrounded me,5,,P21,5.0
12,3,3. I felt like I was just perceiving pictures,6,,P21,6.0
12,4,4. I did not feel present in the virtual space,3,,P21,3.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,6,,P21,6.0
12,6,6. I felt present in the virtual space,4,,P21,4.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),6,,P21,6.0
12,8,8. I was not aware of my real environment,1,,P21,1.0
12,9,9. I still paid attention to the real environment,6,,P21,6.0
12,10,10. I was completely captivated by the virtual world,2,,P21,2.0
12,11,11. How real did the virtual world seem to you?,3,,P21,3.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,4,,P21,4.0
12,13,13. How real did the virtual world seem to you?,3,,P21,3.0
12,14,14. The virtual world seemed more realistic than the real world,1,,P21,1.0
12,15,15. The movements of the virtual body felt like they were my movements.,5,,P21,5.0
12,16,16. I felt like I was controlling the movements of the virtual body.,7,,P21,7.0
12,1,1. In the computer generated world I had a sense of being there,2,,P28,2.0
12,2,2. Somehow I felt that the virtual world surrounded me,3,,P28,3.0
12,3,3. I felt like I was just perceiving pictures,5,,P28,5.0
12,4,4. I did not feel present in the virtual space,3,,P28,3.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,6,,P28,6.0
12,6,6. I felt present in the virtual space,3,,P28,3.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),2,,P28,2.0
12,8,8. I was not aware of my real environment,2,,P28,2.0
12,9,9. I still paid attention to the real environment,3,,P28,3.0
12,10,10. I was completely captivated by the virtual world,2,,P28,2.0
12,11,11. How real did the virtual world seem to you?,6,,P28,6.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,5,,P28,5.0
12,13,13. How real did the virtual world seem to you?,1,,P28,1.0
12,14,14. The virtual world seemed more realistic than the real world,1,,P28,1.0
12,15,15. The movements of the virtual body felt like they were my movements.,2,,P28,2.0
12,16,16. I felt like I was controlling the movements of the virtual body.,4,,P28,4.0
12,1,1. In the computer generated world I had a sense of being there,5,,P17,5.0
12,2,2. Somehow I felt that the virtual world surrounded me,4,,P17,4.0
12,3,3. I felt like I was just perceiving pictures,1,,P17,1.0
12,4,4. I did not feel present in the virtual space,2,,P17,2.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,5,,P17,5.0
12,6,6. I felt present in the virtual space,5,,P17,5.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),4,,P17,4.0
12,8,8. I was not aware of my real environment,3,,P17,3.0
12,9,9. I still paid attention to the real environment,1,,P17,1.0
12,10,10. I was completely captivated by the virtual world,6,,P17,6.0
