pp,trial,voice_id,condition,scene_id,1,2,3,4,5,6,7,8,9,ans_sd,SoPA,SoNA,Accept,SoA,Authorship
P01,1,clone,repeat,1,4.0,6.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,1.7525491637693282,2.8,4.5,3.0,3.0,4.0
P01,2,clone,enhance,3,2.0,2.0,3.0,2.0,1.0,5.0,2.0,3.0,7.0,1.8322507626258087,2.0,5.5,7.0,2.142857142857143,2.0
P01,3,clone,counter,5,1.0,2.0,2.0,1.0,2.0,6.0,1.0,3.0,4.0,2.3754698783308417,1.6,6.0,4.0,1.7142857142857142,1.0
P01,4,clone,repeat,7,2.0,2.0,2.0,2.0,2.0,6.0,1.0,3.0,7.0,2.138089935299395,2.0,6.0,7.0,2.0,2.0
P01,5,clone,enhance,9,1.0,3.0,3.0,2.0,1.0,5.0,2.0,3.0,7.0,1.7728105208558367,1.8,5.0,7.0,2.142857142857143,2.0
P01,6,clone,counter,11,2.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,2.416461403433896,1.4,6.0,2.0,1.5714285714285714,1.0
P01,7,robotic,counter,2,2.0,2.0,2.0,2.0,1.0,6.0,1.0,1.0,2.0,2.416461403433896,1.4,6.0,2.0,1.5714285714285714,2.0
P01,8,robotic,enhance,4,1.0,2.0,2.0,3.0,4.0,6.0,2.0,2.0,8.0,2.052872551885702,2.4,6.0,8.0,2.2857142857142856,3.0
P01,9,robotic,repeat,6,3.0,4.0,4.0,5.0,3.0,5.0,2.0,2.0,5.0,1.1952286093343936,3.0,4.0,5.0,3.2857142857142856,5.0
P01,10,robotic,counter,8,3.0,3.0,3.0,2.0,1.0,5.0,1.0,2.0,7.0,1.7728105208558367,1.8,5.0,7.0,2.142857142857143,2.0
P01,11,robotic,enhance,10,3.0,5.0,4.0,5.0,3.0,4.0,3.0,2.0,8.0,0.9161253813129043,3.2,3.5,8.0,3.5714285714285716,5.0
P01,12,robotic,repeat,12,5.0,5.0,3.0,5.0,3.0,3.0,4.0,2.0,6.0,1.164964745021435,3.8,4.0,6.0,3.857142857142857,5.0
P02,1,clone,repeat,2,4.0,6.0,1.0,7.0,1.0,7.0,5.0,1.0,4.0,2.659215781283755,3.6,4.5,4.0,3.5714285714285716,7.0
P02,2,clone,enhance,4,1.0,2.0,2.0,1.0,1.0,7.0,1.0,1.0,8.0,2.7774602993176543,1.0,6.0,8.0,1.2857142857142858,1.0
P02,3,clone,counter,6,1.0,1.0,2.0,3.0,1.0,6.0,2.0,3.0,3.0,2.38671920665766,2.0,6.5,3.0,1.8571428571428572,3.0
P02,4,clone,repeat,8,3.0,3.0,5.0,4.0,5.0,3.0,3.0,2.0,2.0,1.0690449676496976,3.4,4.0,2.0,3.5714285714285716,4.0
P02,5,clone,enhance,10,4.0,4.0,6.0,5.0,3.0,2.0,5.0,3.0,7.0,1.1952286093343936,4.0,3.0,7.0,4.285714285714286,5.0
P02,6,clone,counter,12,4.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,2.0,0.8345229603962802,4.4,4.0,2.0,4.285714285714286,4.0
P02,7,robotic,counter,1,2.0,5.0,3.0,3.0,2.0,5.0,3.0,2.0,1.0,1.246423454758225,2.4,4.0,1.0,2.857142857142857,3.0
P02,8,robotic,enhance,3,6.0,5.0,5.0,6.0,5.0,3.0,5.0,2.0,9.0,1.5526475085202969,4.8,3.0,9.0,4.857142857142857,6.0
